,datetime,expt_num,type,value
0,2023-03-07 13:01:00,0,pred_leaf_count,284.0
1,2023-03-07 13:01:00,0,pred_flower_count,37.0
2,2023-03-07 13:01:00,0,pred_fruit_count,0.0
3,2023-03-02 12:01:00,0,pred_leaf_count,153.0
4,2023-03-02 12:01:00,0,pred_flower_count,1.0
5,2023-03-02 12:01:00,0,pred_fruit_count,0.0
6,2023-01-29 08:00:00,0,pred_leaf_count,132.0
7,2023-01-29 08:00:00,0,pred_flower_count,0.0
8,2023-01-29 08:00:00,0,pred_fruit_count,0.0
9,2023-02-07 06:00:00,0,pred_leaf_count,154.0
10,2023-02-07 06:00:00,0,pred_flower_count,3.0
11,2023-02-07 06:00:00,0,pred_fruit_count,0.0
12,2023-02-05 21:45:00,0,pred_leaf_count,151.0
13,2023-02-05 21:45:00,0,pred_flower_count,2.0
14,2023-02-05 21:45:00,0,pred_fruit_count,0.0
15,2023-02-08 23:21:00,0,pred_leaf_count,167.0
16,2023-02-08 23:21:00,0,pred_flower_count,6.0
17,2023-02-08 23:21:00,0,pred_fruit_count,0.0
18,2023-02-10 20:54:00,0,pred_leaf_count,138.0
19,2023-02-10 20:54:00,0,pred_flower_count,4.0
20,2023-02-10 20:54:00,0,pred_fruit_count,0.0
21,2023-02-14 19:01:00,0,pred_leaf_count,159.0
22,2023-02-14 19:01:00,0,pred_flower_count,3.0
23,2023-02-14 19:01:00,0,pred_fruit_count,0.0
24,2023-03-08 18:01:00,0,pred_leaf_count,229.0
25,2023-03-08 18:01:00,0,pred_flower_count,34.0
26,2023-03-08 18:01:00,0,pred_fruit_count,0.0
27,2023-02-15 13:01:00,0,pred_leaf_count,156.0
28,2023-02-15 13:01:00,0,pred_flower_count,2.0
29,2023-02-15 13:01:00,0,pred_fruit_count,0.0
30,2023-01-25 19:46:00,0,pred_leaf_count,129.0
31,2023-01-25 19:46:00,0,pred_flower_count,0.0
32,2023-01-25 19:46:00,0,pred_fruit_count,0.0
33,2023-02-21 13:01:00,0,pred_leaf_count,178.0
34,2023-02-21 13:01:00,0,pred_flower_count,9.0
35,2023-02-21 13:01:00,0,pred_fruit_count,0.0
36,2023-02-03 20:01:00,0,pred_leaf_count,148.0
37,2023-02-03 20:01:00,0,pred_flower_count,2.0
38,2023-02-03 20:01:00,0,pred_fruit_count,0.0
39,2023-02-18 19:01:00,0,pred_leaf_count,165.0
40,2023-02-18 19:01:00,0,pred_flower_count,2.0
41,2023-02-18 19:01:00,0,pred_fruit_count,0.0
42,2023-02-18 08:00:00,0,pred_leaf_count,166.0
43,2023-02-18 08:00:00,0,pred_flower_count,3.0
44,2023-02-18 08:00:00,0,pred_fruit_count,0.0
45,2023-01-29 20:41:00,0,pred_leaf_count,124.0
46,2023-01-29 20:41:00,0,pred_flower_count,0.0
47,2023-01-29 20:41:00,0,pred_fruit_count,0.0
48,2023-02-01 18:01:00,0,pred_leaf_count,127.0
49,2023-02-01 18:01:00,0,pred_flower_count,0.0
50,2023-02-01 18:01:00,0,pred_fruit_count,0.0
51,2023-02-14 17:00:00,0,pred_leaf_count,167.0
52,2023-02-14 17:00:00,0,pred_flower_count,0.0
53,2023-02-14 17:00:00,0,pred_fruit_count,0.0
54,2023-02-27 06:00:00,0,pred_leaf_count,163.0
55,2023-02-27 06:00:00,0,pred_flower_count,15.0
56,2023-02-27 06:00:00,0,pred_fruit_count,0.0
57,2023-03-05 16:01:00,0,pred_leaf_count,275.0
58,2023-03-05 16:01:00,0,pred_flower_count,27.0
59,2023-03-05 16:01:00,0,pred_fruit_count,0.0
60,2023-03-07 07:01:00,0,pred_leaf_count,267.0
61,2023-03-07 07:01:00,0,pred_flower_count,37.0
62,2023-03-07 07:01:00,0,pred_fruit_count,0.0
63,2023-02-20 11:00:00,0,pred_leaf_count,183.0
64,2023-02-20 11:00:00,0,pred_flower_count,4.0
