,id,datetime,expt_num,sitename,type,sensor_idx,value
67,177,2023-01-29 09:30:00,0,DLSU-BLAST,light_intensity,4,725.833
68,178,2023-01-29 09:30:00,0,DLSU-BLAST,light_intensity,5,759.167
69,179,2023-01-29 09:30:00,0,DLSU-BLAST,light_intensity,6,1651.67
70,180,2023-01-29 09:30:00,0,DLSU-BLAST,light_intensity,7,964.583
71,181,2023-01-29 09:30:00,0,DLSU-BLAST,light_intensity,8,977.917
72,197,2023-01-29 10:00:00,0,DLSU-BLAST,light_intensity,0,735.417
73,198,2023-01-29 10:00:00,0,DLSU-BLAST,light_intensity,1,520.417
74,199,2023-01-29 10:00:00,0,DLSU-BLAST,light_intensity,2,85.4167
75,200,2023-01-29 10:00:00,0,DLSU-BLAST,light_intensity,3,738.333
76,201,2023-01-29 10:00:00,0,DLSU-BLAST,light_intensity,4,697.083
77,202,2023-01-29 10:00:00,0,DLSU-BLAST,light_intensity,5,668.333
78,203,2023-01-29 10:00:00,0,DLSU-BLAST,light_intensity,6,1622.92
79,204,2023-01-29 10:00:00,0,DLSU-BLAST,light_intensity,7,943.333
80,205,2023-01-29 10:00:00,0,DLSU-BLAST,light_intensity,8,967.917
81,221,2023-01-29 10:30:00,0,DLSU-BLAST,light_intensity,0,808.75
82,222,2023-01-29 10:30:00,0,DLSU-BLAST,light_intensity,1,571.25
83,223,2023-01-29 10:30:00,0,DLSU-BLAST,light_intensity,2,113.75
84,224,2023-01-29 10:30:00,0,DLSU-BLAST,light_intensity,3,775.833
85,225,2023-01-29 10:30:00,0,DLSU-BLAST,light_intensity,4,725.833
86,226,2023-01-29 10:30:00,0,DLSU-BLAST,light_intensity,5,695.833
87,227,2023-01-29 10:30:00,0,DLSU-BLAST,light_intensity,6,1653.33
88,228,2023-01-29 10:30:00,0,DLSU-BLAST,light_intensity,7,1004.58
89,229,2023-01-29 10:30:00,0,DLSU-BLAST,light_intensity,8,994.167
90,245,2023-01-29 11:00:00,0,DLSU-BLAST,light_intensity,0,767.5
91,246,2023-01-29 11:00:00,0,DLSU-BLAST,light_intensity,1,551.667
92,247,2023-01-29 11:00:00,0,DLSU-BLAST,light_intensity,2,98.3333
93,248,2023-01-29 11:00:00,0,DLSU-BLAST,light_intensity,3,763.333
