,datetime,expt_num,type,value
109,2023-02-16,0,pred_leaf_count_mean,157.1875
108,2023-02-16,0,pred_leaf_count_median,161.5
204,2023-02-17,0,pred_leaf_count_median,165.5
206,2023-02-17,0,pred_flower_count_median,2.0
207,2023-02-17,0,pred_flower_count_mean,2.25
208,2023-02-17,0,pred_fruit_count_median,0.0
209,2023-02-17,0,pred_fruit_count_mean,0.0
205,2023-02-17,0,pred_leaf_count_mean,165.5625
79,2023-02-18,0,pred_leaf_count_mean,174.875
78,2023-02-18,0,pred_leaf_count_median,172.5
83,2023-02-18,0,pred_fruit_count_mean,0.0
82,2023-02-18,0,pred_fruit_count_median,0.0
81,2023-02-18,0,pred_flower_count_mean,2.5
80,2023-02-18,0,pred_flower_count_median,2.5
236,2023-02-19,0,pred_flower_count_median,5.5
235,2023-02-19,0,pred_leaf_count_mean,179.4375
238,2023-02-19,0,pred_fruit_count_median,0.0
237,2023-02-19,0,pred_flower_count_mean,5.5
239,2023-02-19,0,pred_fruit_count_mean,0.0
234,2023-02-19,0,pred_leaf_count_median,181.0
103,2023-02-20,0,pred_leaf_count_mean,174.84615384615384
104,2023-02-20,0,pred_flower_count_median,5.0
105,2023-02-20,0,pred_flower_count_mean,5.538461538461538
106,2023-02-20,0,pred_fruit_count_median,0.0
107,2023-02-20,0,pred_fruit_count_mean,0.0
102,2023-02-20,0,pred_leaf_count_median,174.0
71,2023-02-21,0,pred_fruit_count_mean,0.0
70,2023-02-21,0,pred_fruit_count_median,0.0
69,2023-02-21,0,pred_flower_count_mean,8.8
66,2023-02-21,0,pred_leaf_count_median,171.0
67,2023-02-21,0,pred_leaf_count_mean,174.93333333333334
68,2023-02-21,0,pred_flower_count_median,9.0
116,2023-02-22,0,pred_flower_count_median,10.0
117,2023-02-22,0,pred_flower_count_mean,9.11111111111111
118,2023-02-22,0,pred_fruit_count_median,0.0
119,2023-02-22,0,pred_fruit_count_mean,0.0
114,2023-02-22,0,pred_leaf_count_median,168.5
115,2023-02-22,0,pred_leaf_count_mean,159.05555555555554
169,2023-02-23,0,pred_leaf_count_mean,154.6
170,2023-02-23,0,pred_flower_count_median,16.0
172,2023-02-23,0,pred_fruit_count_median,0.0
173,2023-02-23,0,pred_fruit_count_mean,0.0
168,2023-02-23,0,pred_leaf_count_median,154.0
171,2023-02-23,0,pred_flower_count_mean,15.8
245,2023-02-24,0,pred_fruit_count_mean,0.0
240,2023-02-24,0,pred_leaf_count_median,155.0
241,2023-02-24,0,pred_leaf_count_mean,155.22222222222223
242,2023-02-24,0,pred_flower_count_median,14.0
243,2023-02-24,0,pred_flower_count_mean,14.11111111111111
244,2023-02-24,0,pred_fruit_count_median,0.0
197,2023-02-25,0,pred_fruit_count_mean,0.0
196,2023-02-25,0,pred_fruit_count_median,0.0
195,2023-02-25,0,pred_flower_count_mean,12.9
193,2023-02-25,0,pred_leaf_count_mean,158.4
192,2023-02-25,0,pred_leaf_count_median,156.5
194,2023-02-25,0,pred_flower_count_median,11.5
174,2023-02-26,0,pred_leaf_count_median,142.5
175,2023-02-26,0,pred_leaf_count_mean,144.875
176,2023-02-26,0,pred_flower_count_median,12.5
177,2023-02-26,0,pred_flower_count_mean,12.375
178,2023-02-26,0,pred_fruit_count_median,0.0
179,2023-02-26,0,pred_fruit_count_mean,0.0
95,2023-02-27,0,pred_fruit_count_mean,0.0
90,2023-02-27,0,pred_leaf_count_median,154.0
92,2023-02-27,0,pred_flower_count_median,14.0
91,2023-02-27,0,pred_leaf_count_mean,154.9375
94,2023-02-27,0,pred_fruit_count_median,0.0
93,2023-02-27,0,pred_flower_count_mean,13.6875
229,2023-02-28,0,pred_leaf_count_mean,158.375
230,2023-02-28,0,pred_flower_count_median,14.5
231,2023-02-28,0,pred_flower_count_mean,14.5625
232,2023-02-28,0,pred_fruit_count_median,0.0
233,2023-02-28,0,pred_fruit_count_mean,0.0
228,2023-02-28,0,pred_leaf_count_median,159.5
152,2023-03-01,0,pred_flower_count_median,18.0
153,2023-03-01,0,pred_flower_count_mean,18.0
151,2023-03-01,0,pred_leaf_count_mean,155.75
154,2023-03-01,0,pred_fruit_count_median,0.0
150,2023-03-01,0,pred_leaf_count_median,157.5
155,2023-03-01,0,pred_fruit_count_mean,0.0
11,2023-03-02,0,pred_fruit_count_mean,0.0
6,2023-03-02,0,pred_leaf_count_median,191.0
7,2023-03-02,0,pred_leaf_count_mean,187.64705882352942
8,2023-03-02,0,pred_flower_count_median,14.0
9,2023-03-02,0,pred_flower_count_mean,13.882352941176471
10,2023-03-02,0,pred_fruit_count_median,0.0
221,2023-03-03,0,pred_fruit_count_mean,0.0
220,2023-03-03,0,pred_fruit_count_median,0.0
219,2023-03-03,0,pred_flower_count_mean,17.875
218,2023-03-03,0,pred_flower_count_median,18.0
217,2023-03-03,0,pred_leaf_count_mean,231.75
216,2023-03-03,0,pred_leaf_count_median,227.0
186,2023-03-04,0,pred_leaf_count_median,253.0
187,2023-03-04,0,pred_leaf_count_mean,251.25
189,2023-03-04,0,pred_flower_count_mean,25.25
190,2023-03-04,0,pred_fruit_count_median,0.0
191,2023-03-04,0,pred_fruit_count_mean,0.0
188,2023-03-04,0,pred_flower_count_median,25.0
101,2023-03-05,0,pred_fruit_count_mean,0.0
100,2023-03-05,0,pred_fruit_count_median,0.0
99,2023-03-05,0,pred_flower_count_mean,25.0
97,2023-03-05,0,pred_leaf_count_mean,266.25
96,2023-03-05,0,pred_leaf_count_median,272.5
98,2023-03-05,0,pred_flower_count_median,25.0
132,2023-03-06,0,pred_leaf_count_median,269.0
133,2023-03-06,0,pred_leaf_count_mean,267.4375
134,2023-03-06,0,pred_flower_count_median,30.0
135,2023-03-06,0,pred_flower_count_mean,30.125
136,2023-03-06,0,pred_fruit_count_median,0.0
137,2023-03-06,0,pred_fruit_count_mean,0.0
0,2023-03-07,0,pred_leaf_count_median,284.0
4,2023-03-07,0,pred_fruit_count_median,0.0
1,2023-03-07,0,pred_leaf_count_mean,271.5882352941176
2,2023-03-07,0,pred_flower_count_median,35.0
3,2023-03-07,0,pred_flower_count_mean,34.529411764705884
5,2023-03-07,0,pred_fruit_count_mean,0.0
52,2023-03-08,0,pred_fruit_count_median,0.0
51,2023-03-08,0,pred_flower_count_mean,34.75
50,2023-03-08,0,pred_flower_count_median,34.5
49,2023-03-08,0,pred_leaf_count_mean,253.875
53,2023-03-08,0,pred_fruit_count_mean,0.0
48,2023-03-08,0,pred_leaf_count_median,254.0
214,2023-03-09,0,pred_fruit_count_median,0.0
211,2023-03-09,0,pred_leaf_count_mean,253.88888888888889
212,2023-03-09,0,pred_flower_count_median,38.0
213,2023-03-09,0,pred_flower_count_mean,37.22222222222222
210,2023-03-09,0,pred_leaf_count_median,254.0
215,2023-03-09,0,pred_fruit_count_mean,0.0
181,2023-03-13,0,pred_leaf_count_mean,214.2
182,2023-03-13,0,pred_flower_count_median,29.0
183,2023-03-13,0,pred_flower_count_mean,27.8
184,2023-03-13,0,pred_fruit_count_median,0.0
185,2023-03-13,0,pred_fruit_count_mean,0.0
180,2023-03-13,0,pred_leaf_count_median,218.0
198,2023-03-14,0,pred_leaf_count_median,255.0
199,2023-03-14,0,pred_leaf_count_mean,255.13333333333333
200,2023-03-14,0,pred_flower_count_median,19.0
201,2023-03-14,0,pred_flower_count_mean,19.133333333333333
202,2023-03-14,0,pred_fruit_count_median,0.0
203,2023-03-14,0,pred_fruit_count_mean,0.0
263,2023-03-15,0,pred_fruit_count_mean,0.0
261,2023-03-15,0,pred_flower_count_mean,17.125
262,2023-03-15,0,pred_fruit_count_median,0.0
259,2023-03-15,0,pred_leaf_count_mean,265.625
258,2023-03-15,0,pred_leaf_count_median,266.0
260,2023-03-15,0,pred_flower_count_median,17.0
270,2023-03-16,0,pred_leaf_count_median,255.0
271,2023-03-16,0,pred_leaf_count_mean,254.33333333333334
272,2023-03-16,0,pred_flower_count_median,23.0
273,2023-03-16,0,pred_flower_count_mean,23.333333333333332
274,2023-03-16,0,pred_fruit_count_median,0.0
275,2023-03-16,0,pred_fruit_count_mean,0.0
264,2023-03-17,0,pred_leaf_count_median,268.5
265,2023-03-17,0,pred_leaf_count_mean,275.125
266,2023-03-17,0,pred_flower_count_median,15.0
267,2023-03-17,0,pred_flower_count_mean,15.5625
268,2023-03-17,0,pred_fruit_count_median,0.0
269,2023-03-17,0,pred_fruit_count_mean,0.0
279,2023-03-18,0,pred_flower_count_mean,27.941176470588236
280,2023-03-18,0,pred_fruit_count_median,0.0
281,2023-03-18,0,pred_fruit_count_mean,0.0
278,2023-03-18,0,pred_flower_count_median,24.0
276,2023-03-18,0,pred_leaf_count_median,391.0
277,2023-03-18,0,pred_leaf_count_mean,394.29411764705884
282,2023-03-19,0,pred_leaf_count_median,373.0
283,2023-03-19,0,pred_leaf_count_mean,376.94117647058823
284,2023-03-19,0,pred_flower_count_median,29.0
285,2023-03-19,0,pred_flower_count_mean,29.88235294117647
286,2023-03-19,0,pred_fruit_count_median,0.0
287,2023-03-19,0,pred_fruit_count_mean,0.0
293,2023-03-20,0,pred_fruit_count_mean,0.0
292,2023-03-20,0,pred_fruit_count_median,0.0
291,2023-03-20,0,pred_flower_count_mean,32.75
288,2023-03-20,0,pred_leaf_count_median,384.0
289,2023-03-20,0,pred_leaf_count_mean,388.25
290,2023-03-20,0,pred_flower_count_median,32.5
298,2023-03-21,0,pred_fruit_count_median,0.0
299,2023-03-21,0,pred_fruit_count_mean,0.0
297,2023-03-21,0,pred_flower_count_mean,28.785714285714285
295,2023-03-21,0,pred_leaf_count_mean,360.7857142857143
294,2023-03-21,0,pred_leaf_count_median,383.5
296,2023-03-21,0,pred_flower_count_median,30.5
300,2023-03-22,0,pred_leaf_count_median,386.0
301,2023-03-22,0,pred_leaf_count_mean,390.2
302,2023-03-22,0,pred_flower_count_median,32.0
303,2023-03-22,0,pred_flower_count_mean,31.466666666666665
304,2023-03-22,0,pred_fruit_count_median,0.0
305,2023-03-22,0,pred_fruit_count_mean,0.0
311,2023-03-23,0,pred_fruit_count_mean,0.0
306,2023-03-23,0,pred_leaf_count_median,386.5
307,2023-03-23,0,pred_leaf_count_mean,386.5625
308,2023-03-23,0,pred_flower_count_median,31.5
309,2023-03-23,0,pred_flower_count_mean,31.8125
310,2023-03-23,0,pred_fruit_count_median,0.0
317,2023-03-24,0,pred_fruit_count_mean,0.0
316,2023-03-24,0,pred_fruit_count_median,0.0
315,2023-03-24,0,pred_flower_count_mean,30.133333333333333
313,2023-03-24,0,pred_leaf_count_mean,399.0
312,2023-03-24,0,pred_leaf_count_median,397.0
314,2023-03-24,0,pred_flower_count_median,30.0
318,2023-03-25,0,pred_leaf_count_median,373.0
319,2023-03-25,0,pred_leaf_count_mean,379.1333333333333
320,2023-03-25,0,pred_flower_count_median,28.0
321,2023-03-25,0,pred_flower_count_mean,30.466666666666665
322,2023-03-25,0,pred_fruit_count_median,0.0
323,2023-03-25,0,pred_fruit_count_mean,0.0
329,2023-03-26,0,pred_fruit_count_mean,0.0
327,2023-03-26,0,pred_flower_count_mean,26.266666666666666
328,2023-03-26,0,pred_fruit_count_median,0.0
325,2023-03-26,0,pred_leaf_count_mean,373.2
324,2023-03-26,0,pred_leaf_count_median,371.0
326,2023-03-26,0,pred_flower_count_median,26.0
335,2023-03-27,0,pred_fruit_count_mean,0.0
334,2023-03-27,0,pred_fruit_count_median,0.0
